id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,False,3,False,27,Lawyer,73,81,93,97,63,80,87
2,Elizabeth,Martin,elizabeth.martin.2@gslingacademy.com,female,False,5,True,27,Lawyer,71,85,93,68,100,91,87
3,Sandra,Thornton,sandra.thornton.3@gslingacademy.com,female,False,2,False,24,Lawyer,99,81,73,70,85,86,61
4,Brittany,Koch,brittany.koch.4@gslingacademy.com,female,False,5,False,33,Lawyer,83,86,61,99,99,88,73
5,Derrick,Figueroa,derrick.figueroa.5@gslingacademy.com,male,True,0,False,28,Lawyer,100,93,85,61,96,83,86
6,Cathy,Wilson,cathy.wilson.6@gslingacademy.com,female,False,1,False,29,Lawyer,70,99,79,96,60,97,100
7,Matthew,Jackson,matthew.jackson.7@gslingacademy.com,male,False,0,False,34,Lawyer,92,90,65,79,96,87,74
8,Rebecca,Norris,rebecca.norris.8@gslingacademy.com,female,False,1,False,34,Lawyer,91,98,76,99,65,98,71
9,John,Bennett,john.bennett.9@gslingacademy.com,male,False,1,False,33,Lawyer,100,96,75,68,77,97,81
10,Jason,Bell,jason.bell.10@gslingacademy.com,male,False,1,False,31,Lawyer,73,99,75,70,100,86,62
11,Kathryn,Frazier,kathryn.frazier.11@gslingacademy.com,female,False,3,False,34,Lawyer,94,88,65,88,60,81,78
12,Kyle,James,kyle.james.12@gslingacademy.com,male,False,2,False,27,Lawyer,87,82,95,81,85,84,73
13,Robert,Swanson,robert.swanson.13@gslingacademy.com,male,False,3,False,35,Lawyer,90,88,94,99,92,87,97
14,Jessica,Waters,jessica.waters.14@gslingacademy.com,female,False,3,False,31,Lawyer,91,96,77,76,80,97,80
15,Randy,Rodriguez,randy.rodriguez.15@gslingacademy.com,male,False,1,False,24,Lawyer,90,89,82,74,67,92,82
16,Robert,Salazar,robert.salazar.16@gslingacademy.com,male,False,1,True,33,Lawyer,76,81,96,74,75,80,98
17,Benjamin,Davis,benjamin.davis.17@gslingacademy.com,male,False,3,False,30,Lawyer,85,94,83,76,77,81,92
18,Penny,Zuniga,penny.zuniga.18@gslingacademy.com,female,False,7,True,30,Lawyer,84,97,60,100,83,88,94
19,Laura,Miller,laura.miller.19@gslingacademy.com,female,False,1,True,26,Lawyer,74,92,81,79,74,85,86
20,Matthew,Anderson,matthew.anderson.20@gslingacademy.com,male,False,2,False,27,Lawyer,70,88,60,68,66,82,60
21,Cody,Jimenez,cody.jimenez.21@gslingacademy.com,male,False,1,False,32,Lawyer,100,89,95,63,67,92,75
22,Wayne,Lane,wayne.lane.22@gslingacademy.com,male,False,8,True,32,Lawyer,96,95,61,72,71,83,96
23,Brenda,Collins,brenda.collins.23@gslingacademy.com,female,False,2,True,26,Lawyer,71,81,99,74,74,82,67
24,Casey,Galvan,casey.galvan.24@gslingacademy.com,male,False,1,False,25,Lawyer,95,89,96,89,60,99,93
25,Courtney,Rodriguez,courtney.rodriguez.25@gslingacademy.com,female,False,1,False,24,Lawyer,99,97,68,85,86,85,73
26,Jennifer,Kemp,jennifer.kemp.26@gslingacademy.com,female,False,1,False,34,Lawyer,98,93,67,74,81,87,76
27,Susan,Brown,susan.brown.27@gslingacademy.com,female,False,3,False,29,Lawyer,94,82,81,90,76,97,86
28,Taylor,Nelson,taylor.nelson.28@gslingacademy.com,female,False,3,True,32,Lawyer,79,81,63,79,96,96,89
29,Christina,Patterson,christina.patterson.29@gslingacademy.com,female,False,3,False,29,Lawyer,78,90,69,100,90,91,90
30,Stephen,Gallagher,stephen.gallagher.30@gslingacademy.com,male,False,1,False,33,Lawyer,95,82,62,76,64,91,79
31,Sandra,Prince,sandra.prince.31@gslingacademy.com,female,False,0,False,29,Lawyer,70,94,67,74,84,95,65
32,John,Owen,john.owen.32@gslingacademy.com,male,False,6,False,34,Lawyer,82,85,72,69,63,99,68
33,Christopher,Murphy,christopher.murphy.33@gslingacademy.com,male,False,2,False,26,Lawyer,98,88,76,72,92,81,89
34,Andrew,Thomas,andrew.thomas.34@gslingacademy.com,male,False,0,False,29,Lawyer,98,87,75,63,85,88,75
35,Charles,Reid,charles.reid.35@gslingacademy.com,male,False,3,True,28,Lawyer,76,87,99,69,89,93,85
36,Gary,Rivera,gary.rivera.36@gslingacademy.com,male,False,6,False,34,Lawyer,89,89,85,74,78,87,82
37,Wendy,Warner,wendy.warner.37@gslingacademy.com,female,False,4,False,31,Lawyer,80,93,93,94,81,81,78
38,Gary,Patel,gary.patel.38@gslingacademy.com,male,False,1,False,28,Lawyer,91,88,98,89,75,91,92
39,Kelly,Schwartz,kelly.schwartz.39@gslingacademy.com,female,False,4,True,33,Lawyer,84,89,74,79,86,93,95
40,Brittany,Orozco,brittany.orozco.40@gslingacademy.com,female,False,4,True,34,Lawyer,87,94,74,84,77,82,85
41,William,Smith,william.smith.41@gslingacademy.com,male,False,3,False,25,Lawyer,77,80,88,84,84,92,82
42,Kyle,Williams,kyle.williams.42@gslingacademy.com,male,False,6,False,27,Lawyer,85,92,62,95,65,89,95
43,Patricia,Hall,patricia.hall.43@gslingacademy.com,female,False,7,False,26,Lawyer,80,90,85,89,85,80,68
44,Philip,Walker,philip.walker.44@gslingacademy.com,male,False,5,False,27,Lawyer,84,86,90,80,72,99,85
45,Lauren,Cordova,lauren.cordova.45@gslingacademy.com,female,True,3,False,28,Lawyer,96,93,100,96,97,81,72
46,Donald,Coleman,donald.coleman.46@gslingacademy.com,male,False,9,True,24,Lawyer,95,82,84,69,63,85,69
47,Katie,Davenport,katie.davenport.47@gslingacademy.com,female,False,2,False,26,Lawyer,77,96,86,84,90,85,91
48,William,Kennedy,william.kennedy.48@gslingacademy.com,male,False,4,False,29,Lawyer,81,88,85,89,81,91,98
49,Kenneth,Clark,kenneth.clark.49@gslingacademy.com,male,False,1,True,27,Lawyer,86,97,72,90,95,99,76
50,Curtis,Bennett,curtis.bennett.50@gslingacademy.com,male,False,6,True,25,Lawyer,70,83,63,86,97,88,79
51,Debra,Gutierrez,debra.gutierrez.51@gslingacademy.com,female,False,9,False,26,Lawyer,76,83,90,68,96,94,87
52,Linda,West,linda.west.52@gslingacademy.com,female,True,7,False,34,Lawyer,75,82,89,65,85,89,81
53,Ebony,Shepherd,ebony.shepherd.53@gslingacademy.com,female,False,1,False,32,Lawyer,83,84,96,96,79,80,81
54,Craig,Graham,craig.graham.54@gslingacademy.com,male,False,7,False,31,Lawyer,95,87,96,97,83,93,88
55,Kendra,Dalton,kendra.dalton.55@gslingacademy.com,female,False,4,False,27,Lawyer,74,84,71,93,65,98,61
56,Patrick,Kirk,patrick.kirk.56@gslingacademy.com,male,False,5,False,31,Lawyer,71,92,60,73,74,86,94
57,Randy,Lopez,randy.lopez.57@gslingacademy.com,male,False,2,False,26,Lawyer,97,100,87,90,96,86,93
58,Andre,Hoffman,andre.hoffman.58@gslingacademy.com,male,False,2,False,31,Lawyer,100,96,67,63,91,96,84
59,Stephanie,Hernandez,stephanie.hernandez.59@gslingacademy.com,female,False,1,True,28,Lawyer,100,92,66,96,76,88,77
60,Alexander,Mitchell,alexander.mitchell.60@gslingacademy.com,male,False,5,False,35,Lawyer,85,90,89,98,100,97,95
61,Regina,Spencer,regina.spencer.61@gslingacademy.com,female,False,1,False,31,Lawyer,86,85,66,94,62,86,92
62,Michael,Mccarthy,michael.mccarthy.62@gslingacademy.com,male,False,5,False,29,Lawyer,77,92,65,62,76,84,100
63,Bradley,Avery,bradley.avery.63@gslingacademy.com,male,False,3,False,30,Lawyer,80,81,75,72,71,84,87
64,Anna,Wolf,anna.wolf.64@gslingacademy.com,female,False,0,True,29,Lawyer,92,82,63,61,66,84,98
